FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate,3yearsPopulationChange
28000,MS,Mississippi,2021,2696713,35522.20238,32876.45238,2703.321429,-12237.59524,1237897.595,2.1,-289817
29000,MO,Missouri,2019,6202366,72880.39286,60983.53571,7691.428571,89.42857143,3073930.571,2.385714286,
29000,MO,Missouri,2020,6199912,72443.28571,61622.57143,7795.27381,1761.857143,3078967.81,1.671428571,
29000,MO,Missouri,2021,6197457,72006.17857,62261.60714,7899.119048,3434.285714,3084005.048,0.957142857,71005
30000,MT,Montana,2019,968963,12335.14286,9987.25,984.4285714,8227.642857,532629.75,2.864285714,
30000,MT,Montana,2020,969951,12357.78571,10098.58333,1028.357143,8860.202381,536447.5,2.420238095,
30000,MT,Montana,2021,970940,12380.42857,10209.91667,1072.285714,9492.761905,540265.25,1.976190476,-91365
31000,NE,Nebraska,2019,1979129,26485.25,15974.85714,5904.535714,-3675.75,1015825.286,2.389285714,
31000,NE,Nebraska,2020,1981321,26550.41667,16006.04762,6296.988095,-4055.166667,1016678.905,2.161904762,
31000,NE,Nebraska,2021,1983512,26615.58333,16037.2381,6689.440476,-4434.583333,1017532.524,1.93452381,54244
32000,NV,Nevada,2019,2890619,36420.71429,25692.35714,4120.5,54650.21429,1491272.643,2.517857143,
32000,NV,Nevada,2020,2908424,36580.5119,26439.13095,4227.333333,61387.59524,1508512.119,1.302380952,
32000,NV,Nevada,2021,2926230,36740.30952,27185.90476,4334.166667,68124.97619,1525751.595,0.086904762,-108162
33000,NH,New Hampshire,2019,1278515,12025.35714,12435.71429,3009.071429,5032.321429,761725.75,1.735714286,
33000,NH,New Hampshire,2020,1277485,11939.63095,12672.5119,2999.392857,5938.892857,765026,1.238095238,
33000,NH,New Hampshire,2021,1276456,11853.90476,12909.30952,2989.714286,6845.464286,768326.25,0.74047619,-80002
34000,NJ,New Jersey,2019,8887022,99863.03571,75949.67857,48226.14286,-64401.60714,4402462.857,2.860714286,
34000,NJ,New Jersey,2020,8860349,99119.57143,76754.52381,50739.61905,-66661.63095,4379980.714,2.021428571,
34000,NJ,New Jersey,2021,8833675,98376.10714,77559.36905,53253.09524,-68921.65476,4357498.571,1.182142857,-74845
35000,NM,New Mexico,2019,1884938,23348.71429,18791.28571,1908.714286,-9801.535714,940766.6071,5.157142857,
35000,NM,New Mexico,2020,1874702,22783.17857,19104.9881,1582.928571,-10198.82143,942576.7143,4.855952381,
35000,NM,New Mexico,2021,1864466,22217.64286,19418.69048,1257.142857,-10596.10714,944386.8214,4.554761905,-230962
36000,NY,New York,2019,19485759,227483.0714,163520.5357,70840.25,-219478.4286,9564879.893,3.128571429,
36000,NY,New York,2020,19461488,225462.8929,165695.4048,68381.33333,-235613.5238,9563373.786,2.44047619,
36000,NY,New York,2021,19437217,223442.7143,167870.2738,65922.41667,-251748.619,9561867.679,1.752380952,-104992
37000,NC,North Carolina,2019,10156253,119648.5,95378.35714,22955.46429,76300.67857,5012491.964,2.453571429,
37000,NC,North Carolina,2020,10239007,119550.5,97421.63095,23807.84524,82650.94048,5063771.179,1.523809524,
37000,NC,North Carolina,2021,10321760,119452.5,99464.90476,24660.22619,89001.20238,5115050.393,0.594047619,-61860
38000,ND,North Dakota,2019,766894,11806.82143,6239.5,2700.357143,-6941.035714,416106.8214,2.517857143,
38000,ND,North Dakota,2020,776754,12066.55952,6259.333333,2944.047619,-9458.904762,418387.0595,2.427380952,
38000,ND,North Dakota,2021,786614,12326.29762,6279.166667,3187.738095,-11976.77381,420667.2976,2.336904762,26537
39000,OH,Ohio,2019,11857498,136267.0714,120076.75,23696.21429,-8546.785714,5746640.214,3.457142857,
39000,OH,Ohio,2020,11865935,135898.1429,121212.5833,24349.42857,-5001.321429,5749810.929,2.864285714,
39000,OH,Ohio,2021,11874372,135529.2143,122348.4167,25002.64286,-1455.857143,5752981.643,2.271428571,184930
40000,OK,Oklahoma,2019,3947158,51652.64286,40643.92857,5405.428571,-9192.428571,1856248.5,3.421428571,
40000,OK,Oklahoma,2020,3956925,51457.53571,41046.02381,5178.857143,-11863.35714,1865423.667,3.13452381,
40000,OK,Oklahoma,2021,3966691,51262.42857,41448.11905,4952.285714,-14534.28571,1874598.833,2.847619048,23612
41000,OR,Oregon,2019,4228356,45476.53571,36933.07143,9033.214286,46331,2104732.107,2.653571429,
41000,OR,Oregon,2020,4276227,45510.07143,37491.89286,9384.178571,50912.16667,2127532.048,1.807142857,
41000,OR,Oregon,2021,4324098,45543.60714,38050.71429,9735.142857,55493.33333,2150331.988,0.960714286,133385
42000,PA,Pennsylvania,2019,13019376,136403.0357,134710,37502.5,-40046.17857,6429081.607,3.632142857,
42000,PA,Pennsylvania,2020,13017748,135475.8214,135732.5,38773,-42412.44048,6429762.881,3.080952381,
42000,PA,Pennsylvania,2021,13016119,134548.6071,136755,40043.5,-44778.70238,6430444.155,2.529761905,209059
44000,RI,Rhode Island,2019,963908,10629.28571,9951.071429,2717.035714,-2881.678571,552642.8929,2.317857143,
44000,RI,Rhode Island,2020,946709,10582.2381,9996.892857,2481.821429,-2540.857143,551854.0357,1.219047619,
44000,RI,Rhode Island,2021,929510,10535.19048,10042.71429,2246.607143,-2200.035714,551065.1786,0.120238095,-127805
45000,SC,South Carolina,2019,4783416,56775.78571,51117.25,6510.321429,61999.75,2351105.25,2.117857143,
45000,SC,South Carolina,2020,4814810,56676.40476,52302.33333,6738.47619,67158.08333,2374599.333,1.127380952,
45000,SC,South Carolina,2021,4846204,56577.02381,53487.41667,6966.630952,72316.41667,2398093.417,0.136904762,-237923
46000,SD,South Dakota,2019,854529,12241.17857,7514.178571,3929.357143,267.5357143,461253.0714,2.485714286,
46000,SD,South Dakota,2020,858023,12272.60714,7534.52381,4340.547619,-1.678571429,463993.6429,2.246428571,
46000,SD,South Dakota,2021,861518,12304.03571,7554.869048,4751.738095,-270.8928571,466734.2143,2.007142857,-20717
47000,TN,Tennessee,2019,6647025,80836.5,69501.82143,8922.785714,43432.71429,3198586.214,2.414285714,
47000,TN,Tennessee,2020,6677347,80953.58333,70633.72619,8967.321429,47069.2619,3216520.095,1.595238095,
47000,TN,Tennessee,2021,6707669,81070.66667,71765.63095,9011.857143,50705.80952,3234453.976,0.776190476,-62341
48000,TX,Texas,2019,29325694,402370.5357,205256.5,121861,97568.07143,13950717.29,2.971428571,
48000,TX,Texas,2020,29703110,404883.3214,210028.3333,126780.8333,91710.97619,14135531.24,2.43452381,
48000,TX,Texas,2021,30080527,407396.1071,214800.1667,131700.6667,85853.88095,14320345.19,1.897619048,1378682
49000,UT,Utah,2019,3231286,49993.5,18109.78571,9695.178571,22292.35714,1603481.643,2.121428571,
49000,UT,Utah,2020,3269850,49793.91667,18455.9881,10583.10714,25409.96429,1636383.036,1.651190476,
49000,UT,Utah,2021,3308415,49594.33333,18802.19048,11471.03571,28527.57143,1669284.429,1.180952381,147310
50000,VT,Vermont,2019,525614,5603.964286,5835.285714,1901.392857,-1083.107143,341122.5357,2.117857143,
50000,VT,Vermont,2020,518421,5534.928571,5878.321429,2088.869048,-1048.880952,339369.1548,1.719047619,
50000,VT,Vermont,2021,511227,5465.892857,5921.357143,2276.345238,-1014.654762,337615.7738,1.320238095,-115072
51000,VA,Virginia,2019,8621792,100908.6786,69757.57143,36247.28571,-26462.57143,4319069.5,2.575,
51000,VA,Virginia,2020,8653754,100625.3571,70985.55952,37135.7381,-30447.14286,4334032.75,2.066666667,
