,FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
98,36000,NY,New York,2021,19437217,223442.7142857141,167870.27380952332,65922.41666666698,-251748.6190476194,9561867.67857143,1.7523809523809177
99,37000,NC,North Carolina,2019,10156253,119648.49999999997,95378.35714285728,22955.46428571432,76300.6785714291,5012491.964285716,2.4535714285716494
100,37000,NC,North Carolina,2020,10239007,119550.49999999997,97421.63095238106,23807.84523809515,82650.9404761903,5063771.178571433,1.523809523809632
101,37000,NC,North Carolina,2021,10321760,119452.49999999997,99464.90476190485,24660.226190476213,89001.20238095336,5115050.392857149,0.5940476190478421
102,38000,ND,North Dakota,2019,766894,11806.821428571478,6239.5,2700.3571428571595,-6941.035714285448,416106.8214285709,2.517857142857139
103,38000,ND,North Dakota,2020,776754,12066.559523809585,6259.3333333333285,2944.047619047633,-9458.90476190485,418387.05952380877,2.4273809523809575
104,38000,ND,North Dakota,2021,786614,12326.297619047691,6279.166666666664,3187.7380952381063,-11976.773809523322,420667.2976190476,2.3369047619047763
105,39000,OH,Ohio,2019,11857498,136267.07142857136,120076.75,23696.21428571432,-8546.78571428638,5746640.214285714,3.4571428571427987
106,39000,OH,Ohio,2020,11865935,135898.14285714284,121212.58333333302,24349.428571428638,-5001.321428571828,5749810.928571428,2.864285714285643
107,39000,OH,Ohio,2021,11874372,135529.21428571432,122348.41666666651,25002.642857142957,-1455.857142857276,5752981.642857143,2.271428571428487
108,40000,OK,Oklahoma,2019,3947158,51652.6428571429,40643.92857142864,5405.42857142858,-9192.428571429104,1856248.5,3.421428571428578
109,40000,OK,Oklahoma,2020,3956925,51457.53571428574,41046.023809523904,5178.8571428571595,-11863.357142857276,1865423.6666666642,3.1345238095237846
110,40000,OK,Oklahoma,2021,3966691,51262.42857142858,41448.11904761905,4952.285714285739,-14534.285714285448,1874598.833333332,2.847619047619105
111,41000,OR,Oregon,2019,4043127,45476.535714285725,36933.071428571595,9033.214285714203,46331.0,2104732.107142858,2.6535714285714675
112,41000,OR,Oregon,2020,4069200,45510.071428571435,37491.89285714296,9384.178571428522,50912.16666666791,2127532.047619045,1.807142857142935
113,41000,OR,Oregon,2021,4095272,45543.607142857145,38050.71428571432,9735.14285714284,55493.333333333954,2150331.988095239,0.9607142857144026
114,42000,PA,Pennsylvania,2019,13019376,136403.03571428568,134710.0,37502.5,-40046.1785714291,6429081.607142857,3.632142857142753
115,42000,PA,Pennsylvania,2020,13017748,135475.82142857136,135732.5,38773.0,-42412.44047619123,6429762.880952381,3.08095238095234
116,42000,PA,Pennsylvania,2021,13016119,134548.60714285704,136755.0,40043.5,-44778.702380952425,6430444.154761905,2.529761904761699
117,44000,RI,Rhode Island,2019,963908,10629.28571428571,9951.07142857142,2717.035714285681,-2881.678571428638,552642.8928571427,2.317857142857065
118,44000,RI,Rhode Island,2020,946709,10582.238095238092,9996.892857142855,2481.8214285714203,-2540.8571428571595,551854.0357142857,1.2190476190476147
119,44000,RI,Rhode Island,2021,929510,10535.190476190473,10042.71428571429,2246.6071428571595,-2200.035714285681,551065.1785714286,0.12023809523770979
120,45000,SC,South Carolina,2019,4783416,56775.78571428574,51117.25,6510.32142857142,61999.75,2351105.25,2.1178571428570194
