FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
15000,HI,Hawaii,2014,1414862,18955,10739,3940,-5688,665465,4.4
16000,ID,Idaho,2014,1631479,22434,12543,1403,8462,779986,4.8
17000,IL,Illinois,2014,12888962,157522,102709,29935,-94459,6513861,7.1
18000,IN,Indiana,2014,6593533,83522,59856,9708,-7613,3224772,6
19000,IA,Iowa,2014,3109504,39460,28925,6862,-891,1701445,4.2
20000,KS,Kansas,2014,2900896,39291,25500,6641,-13033,1492158,4.5
21000,KY,Kentucky,2014,4414483,55757,43684,5034,-7165,2006359,6.5
22000,LA,Louisiana,2014,4644204,64205,43574,4690,-5676,2151282,6.4
23000,ME,Maine,2014,1330760,12700,13354,3002,364,696313,5.6
24000,MD,Maryland,2014,5958165,72756,44735,23397,-16504,3123048,5.8
25000,MA,Massachusetts,2014,6763652,71948,54728,44209,-10714,3568321,5.7
26000,MI,Michigan,2014,9930589,114523,91829,23342,-28283,4761391,7.2
27000,MN,Minnesota,2014,5451522,69895,40824,16024,-6649,2972801,4.2
28000,MS,Mississippi,2014,2990623,38716,30579,2608,-8933,1250171,7.5
29000,MO,Missouri,2014,6056293,75777,57133,6303,-8922,3046903,6.1
30000,MT,Montana,2014,1021891,12386,9381,618,4648,512245,4.7
31000,NE,Nebraska,2014,1879522,26468,15706,5065,-1635,1010818,3.3
32000,NV,Nevada,2014,2819012,35226,21271,3914,23822,1388769,7.9
33000,NH,New Hampshire,2014,1333223,12222,11097,2835,2949,743320,4.3
34000,NJ,New Jersey,2014,8866780,103327,70489,30474,-55036,4487038,6.8
35000,NM,New Mexico,2014,2090342,26367,17135,1983,-13733,931752,6.7
36000,NY,New York,2014,19656330,237032,148844,85344,-145183,9529418,6.3
37000,NC,North Carolina,2014,9933944,120194,83478,18228,34784,4696781,6.3
38000,ND,North Dakota,2014,737382,10980,6210,787,9531,413544,2.7
39000,OH,Ohio,2014,11602973,139560,111897,20842,-21196,5704371,5.8
40000,OK,Oklahoma,2014,3878367,53079,38623,6538,4275,1798260,4.5
41000,OR,Oregon,2014,3964106,45474,33812,6943,22447,1936869,6.8
42000,PA,Pennsylvania,2014,12789101,142202,126713,34772,-36475,6392355,5.9
44000,RI,Rhode Island,2014,1056017,10726,9696,3495,-3534,556579,7.7
45000,SC,South Carolina,2014,4823793,57287,44521,6332,39857,2222345,6.5
46000,SD,South Dakota,2014,849088,12440,7172,1069,408,446715,3.4
47000,TN,Tennessee,2014,6540826,80453,63546,7558,22614,3024186,6.6
48000,TX,Texas,2014,26977142,394325,180772,110340,160926,13039452,5.1
49000,UT,Utah,2014,2937399,50830,16277,5315,-202,1427065,3.8
50000,VT,Vermont,2014,625218,6118,5607,291,-1721,347058,3.9
51000,VA,Virginia,2014,8312076,102589,62633,34565,-15804,4241179,5.2
53000,WA,Washington,2014,7052439,87393,51268,30640,22944,3491487,6.1
54000,WV,West Virginia,2014,1849467,20571,21666,996,-4254,788821,6.6
55000,WI,Wisconsin,2014,5751974,67067,49317,7732,-9988,3081543,5.4
56000,WY,Wyoming,2014,582548,7709,4535,-243,-2528,305970,4.1
1000,AL,Alabama,2015,4853160,59637,51820,4685,-1553,2158293,6.1
2000,AK,Alaska,2015,737547,11335,4354,2306,-8178,363396,6.5
4000,AZ,Arizona,2015,6833596,86765,52850,20235,45315,3166615,6.1
5000,AR,Arkansas,2015,2978407,38779,31331,3398,-146,1331631,5
6000,CA,California,2015,38953142,500353,253556,164026,-80259,18851079,6.2
8000,CO,Colorado,2015,5452107,66345,36264,13493,56508,2828876,3.9
9000,CT,Connecticut,2015,3587509,36319,30373,16614,-29986,1888878,5.7
10000,DE,Delaware,2015,941413,11026,8533,2281,4049,465731,4.9
11000,DC,District of Columbia,2015,675254,9652,4895,5042,2865,389218,6.9
12000,FL,Florida,2015,20224249,221755,190991,134214,196632,9608398,5.5
13000,GA,Georgia,2015,10181111,131677,78528,25712,33086,4775453,6
15000,HI,Hawaii,2015,1422484,18215,11069,7389,-6834,673967,3.6
16000,ID,Idaho,2015,1651523,23036,12894,3101,6752,795983,4.2
17000,IL,Illinois,2015,12864342,159244,107598,31480,-108103,6510815,6
18000,IN,Indiana,2015,6608296,84172,62946,8007,-14132,3266520,4.8
19000,IA,Iowa,2015,3121460,39694,29808,5492,-3304,1701514,3.8
20000,KS,Kansas,2015,2909502,38999,26557,9214,-12945,1490689,4.2
21000,KY,Kentucky,2015,4425999,55948,46367,7459,-5351,1979694,5.3
22000,LA,Louisiana,2015,4664851,64393,43957,6170,-5903,2158656,6.3
23000,ME,Maine,2015,1328484,12652,14178,621,-1270,683209,4.4
24000,MD,Maryland,2015,5986717,74158,47160,27566,-25680,3139752,5.1
25000,MA,Massachusetts,2015,6795891,71924,57476,40527,-22191,3590347,4.8
26000,MI,Michigan,2015,9932573,113793,96368,21492,-36454,4759308,5.4
27000,MN,Minnesota,2015,5482503,69709,42943,16573,-11896,2997748,3.7
28000,MS,Mississippi,2015,2988693,38578,31507,3243,-12263,1265245,6.4
29000,MO,Missouri,2015,6071745,75141,60058,9122,-8381,3075227,5
30000,MT,Montana,2015,1030503,12578,9686,595,5070,517557,4.2
31000,NE,Nebraska,2015,1891507,26859,16577,4112,-2311,1007258,3
32000,NV,Nevada,2015,2868666,36231,22465,6566,29019,1407272,6.8
33000,NH,New Hampshire,2015,1336294,12380,11921,3900,-1153,745461,3.4
34000,NJ,New Jersey,2015,8870869,103119,72485,41745,-68471,4489001,5.8
35000,NM,New Mexico,2015,2090211,26051,17653,3933,-12446,934223,6.5
36000,NY,New York,2015,19661411,239363,153820,85244,-165895,9561878,5.3
37000,NC,North Carolina,2015,10033079,120832,88440,21672,44664,4770869,5.7
38000,ND,North Dakota,2015,754022,11404,6348,2068,9344,413068,2.8
39000,OH,Ohio,2015,11617850,139546,118280,24567,-30303,5696693,4.9
40000,OK,Oklahoma,2015,3909831,53529,39728,9408,8324,1832666,4.4
41000,OR,Oregon,2015,4016918,45681,35357,5343,36822,1978634,5.6
42000,PA,Pennsylvania,2015,12785759,141913,132623,31937,-43725,6415816,5.3
44000,RI,Rhode Island,2015,1056173,10876,10071,4541,-5143,554582,6
45000,SC,South Carolina,2015,4892253,58277,46825,7406,49011,2267549,6
46000,SD,South Dakota,2015,853933,12255,7753,1610,-1226,449858,3.1
47000,TN,Tennessee,2015,6590808,81879,66104,10051,24065,3061506,5.6
48000,TX,Texas,2015,27486814,402277,187892,121124,172520,13095837,4.4
49000,UT,Utah,2015,2982497,51014,17247,3951,7597,1460656,3.6
50000,VT,Vermont,2015,625197,5969,5934,2146,-2162,344627,3.6
51000,VA,Virginia,2015,8362907,103237,65500,38389,-25452,4216135,4.5
53000,WA,Washington,2015,7163543,88770,53858,32866,43178,3550450,5.6
54000,WV,West Virginia,2015,1841996,20088,22782,1268,-5989,781903,6.7
55000,WI,Wisconsin,2015,5761406,67152,51258,9022,-15112,3092181,4.6
56000,WY,Wyoming,2015,585668,7797,4838,776,-604,304403,4.3
1000,AL,Alabama,2016,4864745,59388,51662,5950,-1977,2177209,5.8
2000,AK,Alaska,2016,741504,11247,4441,2282,-5175,362231,6.9
4000,AZ,Arizona,2016,6945452,84965,56023,20865,61949,3240590,5.4
5000,AR,Arkansas,2016,2990410,38604,31142,3516,1065,1340002,4
6000,CA,California,2016,39209127,490384,259932,148792,-122586,19044471,5.5
8000,CO,Colorado,2016,5540921,66595,36727,9546,49138,2896771,3.2
9000,CT,Connecticut,2016,3578674,35892,30085,14489,-29202,1891275,5.1
10000,DE,Delaware,2016,949216,11086,8503,1838,3377,472242,4.5
11000,DC,District of Columbia,2016,686575,9715,4855,3504,2907,395424,6.1
12000,FL,Florida,2016,20629982,224643,193629,157738,216222,9825693,4.8
13000,GA,Georgia,2016,10304763,130724,80016,34971,37979,4921491,5.4
15000,HI,Hawaii,2016,1428105,18249,10838,9669,-11424,682961,3
16000,ID,Idaho,2016,1682930,22649,13287,3505,18493,815077,3.8
17000,IL,Illinois,2016,12826895,156299,106197,25446,-113136,6549847,5.8
18000,IN,Indiana,2016,6633344,83560,62143,13506,-9743,3328893,4.4
19000,IA,Iowa,2016,3131785,39428,29189,5622,-5508,1694140,3.6
20000,KS,Kansas,2016,2911263,38616,26270,7582,-18147,1485321,4
21000,KY,Kentucky,2016,4438229,55666,46758,7104,-3670,2014110,5.1
22000,LA,Louisiana,2016,4678215,63973,43673,6247,-13106,2121072,6.1
23000,ME,Maine,2016,1331370,12652,14169,1922,2536,691230,3.8
24000,MD,Maryland,2016,6004692,73387,47239,21569,-29676,3160070,4.5
25000,MA,Massachusetts,2016,6826022,71418,55962,45032,-30232,3619684,3.9
26000,MI,Michigan,2016,9951890,113315,94775,28090,-27061,4848086,5
27000,MN,Minnesota,2016,5523409,69813,42664,16392,-2432,3033407,3.9
28000,MS,Mississippi,2016,2988298,38155,31500,961,-7990,1279440,5.8
29000,MO,Missouri,2016,6087203,74889,59239,5634,-5749,3080850,4.6
30000,MT,Montana,2016,1040863,12425,9926,837,7010,522148,4.1
31000,NE,Nebraska,2016,1905924,26632,16167,5958,-1959,1009443,3.1
32000,NV,Nevada,2016,2919772,36281,23328,3046,34985,1424145,5.7
33000,NH,New Hampshire,2016,1342373,12358,11820,3815,1775,751315,2.9
34000,NJ,New Jersey,2016,8874516,102901,71146,39398,-67589,4474689,5
35000,NM,New Mexico,2016,2092789,25261,18146,2683,-7176,936348,6.6
36000,NY,New York,2016,19641589,235826,151568,88905,-193186,9557094,4.9
37000,NC,North Carolina,2016,10156679,120839,89161,20960,70785,4860259,5.1
38000,ND,North Dakota,2016,754353,11333,6164,1409,-6287,412765,3.1
39000,OH,Ohio,2016,11635003,138674,117533,24390,-28034,5739013,5
40000,OK,Oklahoma,2016,3926769,52856,39265,7764,-4333,1832005,4.8
41000,OR,Oregon,2016,4091404,45598,35317,12755,51262,2048354,4.8
42000,PA,Pennsylvania,2016,12783538,140256,129938,38222,-50399,6450053,5.4
44000,RI,Rhode Island,2016,1057063,10902,9822,4276,-4443,553418,5.2
45000,SC,South Carolina,2016,4958235,57757,47248,5123,50184,2290562,5
46000,SD,South Dakota,2016,862890,12321,7770,3173,1251,452774,3
47000,TN,Tennessee,2016,6645011,81259,66636,7649,31894,3128882,4.7
48000,TX,Texas,2016,27937492,400968,188835,115228,122969,13347311,4.6
49000,UT,Utah,2016,3042613,50623,17785,7371,19871,1506239,3.4
50000,VT,Vermont,2016,623644,5834,5821,659,-2213,344809,3.2
51000,VA,Virginia,2016,8410946,102906,65592,35636,-24951,4242674,4.1
53000,WA,Washington,2016,7294680,89747,54693,29086,66774,3643698,5.3
54000,WV,West Virginia,2016,1830929,19416,22459,1037,-9046,782908,6.1
55000,WI,Wisconsin,2016,5772958,66787,51360,7657,-11395,3125311,4
56000,WY,Wyoming,2016,584290,7582,4797,421,-4601,300732,5.3
1000,AL,Alabama,2017,4875120,58259,53033,3190,2065,2178243,4.4
2000,AK,Alaska,2017,739786,10981,4586,2595,-10746,360759,7
4000,AZ,Arizona,2017,7048876,83743,57680,14248,62930,3327949,4.9
5000,AR,Arkansas,2017,3002997,37703,31299,2180,4003,1347630,3.7
6000,CA,California,2017,39399349,481969,273362,119732,-137608,19205295,4.8
8000,CO,Colorado,2017,5615902,66373,37688,8447,37643,2992412,2.7
9000,CT,Connecticut,2017,3573880,35396,31069,14454,-23652,1896938,4.7
10000,DE,Delaware,2017,957078,10868,9189,1688,4470,476844,4.5
